Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
E85,Alta Convenience Store,2801 N Elizabeth,,Pueblo,CO,81008,,719-544-9249,E,,Public - Credit card after hours,"5am-11pm M-Sat, 6am-11pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,38.2970956978188,-104.615499713492,2018-11-08,31734,2018-11-08 16:06:54 UTC,P,,,2007-08-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Alta Convenience Store,723 Pueblo Blvd,,Pueblo,CO,81005,,719-564-6465,E,,Public - Credit card after hours,5am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.272626,-104.662501,2018-11-08,31735,2018-11-08 16:06:54 UTC,P,,,2007-10-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Alta Convenience Store,2105 Colorado Ave,,Colorado Springs,CO,80904,,719-473-7230,E,,Public,"6am-11pm M-Sat, 7am-10pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,38.843522,-104.857161,2018-11-08,31785,2018-11-08 16:06:54 UTC,P,,,2007-06-15,,,,false,,US,,,,Public,,public,,
E85,Alta Convenience Store,1970 S Holly,Holly and Atlantic,Denver,CO,80222,,303-759-5090,E,,Public,"6am-11pm M-Sat, 7am-10pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.680908,-104.921912,2018-11-08,32279,2018-11-08 16:06:54 UTC,P,,,2007-10-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,2507 E Platte Ave,,Colorado Springs,CO,80907,,719-634-4049,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,38.839021,-104.77939,2018-11-08,32404,2018-11-08 16:06:54 UTC,P,,,2007-10-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,2387 W 72nd Ave,,Denver,CO,80221,,303-429-5754,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.827592,-105.015228,2018-11-08,32406,2018-11-08 16:06:54 UTC,P,,,2007-08-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,1500 N Main St,,Longmont,CO,80501,,303-651-1000,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,40.18511,-105.101891,2018-11-08,32409,2018-11-08 16:06:54 UTC,P,,,2007-10-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,3201 Lake Ave,,Pueblo,CO,81004,,719-564-0591,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,38.218308,-104.625565,2018-11-08,32410,2018-11-08 16:06:54 UTC,P,,,2007-10-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,9190 Huron St,,Thornton,CO,80260,,303-412-0065,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.863116,-104.996078,2018-11-08,32411,2018-11-08 16:06:54 UTC,P,,,2007-08-15,,,,false,,US,,,,Public,,public,,
E85,Eagle Convenience #5 - Cenex,600 E 8th Ave,,Yuma,CO,80759,,970-848-2107,E,,Public,24 hours daily,A Cash D M V Wright_Exp,,,,,,,,,,200-9,40.119917,-102.716079,2018-11-08,32736,2018-11-08 16:06:54 UTC,P,,,2007-01-15,,,,false,,US,,,,Public,,public,,
E85,Alta Convenience Store,40 Colorado 67,,Woodland Park,CO,80863,,719-687-9705,E,,Public,"6am-11pm M-Sat, 7am-10pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,39.031669,-105.081022,2018-11-08,33154,2018-11-08 16:06:54 UTC,P,,,2008-07-15,,,,false,,US,,,,Public,,public,,
E85,Kum & Go #934,8105 6th St,,Wellington,CO,80549,,970-568-3173,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-8,40.702201,-105.000419,2018-05-03,33325,2018-05-03 14:44:18 UTC,P,,,2008-07-01,,,,false,,US,,,,Public,,public,,
E85,City of Englewood,2800 S Platte River,,Englewood,CO,80110,,,E,,Private - Government only,,,,,,,,,,,,200-9,39.666131,-105.002287,2018-11-08,33329,2018-11-08 16:06:54 UTC,LG,,,2008-08-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,
E85,Thunderbird Petroleum,322 Highway 96,,Sheridan Lake,CO,81071,,719-729-3316,E,,Public - Credit card after hours,7am-7pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,38.46626,-102.289739,2018-11-08,33343,2018-11-08 16:06:54 UTC,P,,,2007-09-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Eagle Travel Stop,20974 US Highway 6,,Sterling,CO,80751,,970-522-2858,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,40.6171,-103.184285,2018-11-08,33344,2018-11-08 16:06:54 UTC,P,,,2008-07-01,,,,false,,US,,,,Public,,public,,
E85,Kum & Go #914,7027 20th St,,Greeley,CO,80634,,970-330-8552,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,40.407386,-104.7935,2018-05-03,33397,2018-05-03 14:44:18 UTC,P,,,2008-02-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,123 W Cranson Ave,,Fowler,CO,81039,,719-263-5679,E,,Public,5am-10pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,38.131197,-104.024667,2018-11-08,33435,2018-11-08 16:06:54 UTC,P,,,2008-07-01,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,2630 Colorado Blvd,,Idaho Springs,CO,80452,,303-567-2156,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.741825,-105.502674,2018-11-08,33442,2018-11-08 16:06:54 UTC,P,,,2014-05-16,,,,false,,US,,,,Public,,public,,
E85,Boulder Gas,2995 28th St,,Boulder,CO,80301,,303-444-6566,E,,Public - Credit card after hours,5am-12am daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,40.028771,-105.258794,2018-11-08,33443,2018-11-08 16:06:54 UTC,P,,,2015-03-24,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Western Convenience Store,1905 W Uintah,,Colorado Springs,CO,80904,,719-634-2333,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,38.847578,-104.850252,2018-11-08,33493,2018-11-08 16:06:54 UTC,P,,,2008-11-10,,,,false,,US,,,,Public,,public,,
E85,City of Boulder Fleet Services,5064 Pearl St,,Boulder,CO,80301,,,E,,Private - Government only,,,,,,,,,,,,200-8,40.025907,-105.234548,2018-11-08,33768,2018-11-08 16:06:54 UTC,LG,,,2009-01-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,
E85,City of Colorado Springs,404 W Fontanero St,,Colorado Springs,CO,80907,,,E,,Private - Government only,,,,,,,,,,,,200-9,38.864048,-104.83071,2018-11-08,33769,2018-11-08 16:06:54 UTC,LG,,,2009-01-15,,,,true,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,
E85,Western Convenience Store,12702 Lowell Blvd,At 128th and Lowell,Broomfield,CO,80020,,303-404-2550,E,,Public,24 hours daily,A Cash Checks D M V Wright_Exp,,,,,,,,,,200-9,39.927149,-105.033898,2018-04-03,33908,2018-04-03 18:22:40 UTC,P,,,2009-02-15,,,,false,,US,,,,Public,,public,,
E85,Western Convenience Store,227 W Fillmore St,,Colorado Springs,CO,80907,,719-630-3493,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,38.87457,-104.826511,2018-11-08,33910,2018-11-08 16:06:54 UTC,P,,,2009-06-15,,,,false,,US,,,,Public,,public,,
E85,U-Fill-It,227 8th St,,Greeley,CO,80631,,970-353-7927,E,,Public - Credit card after hours,"5am-8pm M-Sat, 7am-6pm Sun",A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,40.425355,-104.681504,2018-11-08,33911,2018-11-08 16:06:54 UTC,P,,,2009-01-10,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
E85,Weld County Government,1113 H St,,Greeley,CO,80631,,,E,,Private - Government only,,,,,,,,,,,,200-9,40.446968,-104.70404,2017-11-02,33912,2018-10-15 17:19:46 UTC,LG,,,2008-03-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,
E85,Kum & Go #912,30393 Kings Valley Dr,,Conifer,CO,80433,,303-816-0558,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,39.493385,-105.349489,2018-05-03,34275,2018-05-03 14:44:18 UTC,P,,,2008-11-12,,,,false,,US,,,,Public,,public,,
E85,Kum & Go #940,70 W Bridge,,Brighton,CO,80601,,303-659-9546,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,39.986413,-104.825038,2018-05-03,35445,2018-05-03 14:44:18 UTC,P,,,2009-05-15,,,,false,,US,,,,Public,,public,,
E85,Kum & Go #973,127 Laura Way,,Dacono,CO,80514,,303-833-3935,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,40.08238,-104.949175,2018-05-03,35446,2018-05-03 14:44:18 UTC,P,,,2009-07-30,,,,false,,US,,,,Public,,public,,
E85,Kum & Go #938,308 Agate Ave,,Granby,CO,80446,,970-887-3031,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,40.085906,-105.947125,2018-05-03,35447,2018-05-03 14:44:18 UTC,P,,,2009-12-18,,,,false,,US,,,,Public,,public,,
E85,Kum & Go #913,13799 Pacific Cir,,Longmont,CO,80504,,970-535-4601,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,40.203883,-104.975044,2018-05-03,35527,2018-05-03 14:44:18 UTC,P,,,2009-09-18,,,,false,,US,,,,Public,,public,,
E85,Stratton Equity Co-op,515 Lincoln St,,Burlington,CO,80807,,719-346-5560,E,,Public - Credit card after hours,"7am-5pm M-F, 7am-12pm Sat",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.30535,-102.278774,2018-11-08,35599,2018-11-08 16:06:54 UTC,P,,,2010-04-08,,,,true,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,
ELEC,VICEROYSNOWMASS,400 Wood Rd,VS-2; PLEASE CALL CUSTOMER SERVICE TO USE THIS STATION,Aspen,CO,81611,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.2075854,-106.9486113,2018-11-29,36351,2018-11-29 10:05:14 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Hyatt Regency - Denver,650 15th St,"At Colorado Convention Center, level 2",Denver,CO,80202,,303-486-4467,E,,Public,24 hours daily; pay lot,,,,,4,,,,,,200-9,39.743687,-104.993312,2018-11-08,36353,2018-11-08 16:06:54 UTC,P,,,2010-03-15,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Located in the indoor valet and covered self-parking,Commerce City,CO,80022,,303-574-9800,E,,Public,24 hours daily; pay lot,,,,,18,9,1,,,,200-9,39.844569,-104.76788,2018-11-08,38522,2018-11-08 16:06:54 UTC,P,,,2010-10-19,,,,,CHADEMO J1772 NEMA515,US,,,,Public,,public,,
ELEC,National Renewable Energy Laboratory - Denver West,15013 Denver W Pkwy,Parking garage on South Table Mountain Campus,Golden,CO,80401,,,E,,Private,,,,,,,36,,,,,200-9,39.740236,-105.181918,2018-05-03,39534,2018-05-03 14:44:18 UTC,FG,8,U.S. Department of Energy,2011-05-20,,,,,J1772,US,,,,Privé,,private,,DOE
ELEC,New Belgium Brewing,500 Linden St,,Fort Collins,CO,80524,,970-221-0524,E,,Public - Call ahead,11am-8pm daily,,,,,,3,,,,,200-9,40.593417,-105.0684,2018-11-08,42529,2018-11-08 16:06:54 UTC,P,,,2011-12-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,City of Boulder - Facility Maintenance,1720 13th St,,Boulder,CO,80302,,,E,,Private,,,,,,,2,,,,,200-8,40.014732,-105.277478,2018-01-04,42540,2018-11-27 15:26:25 UTC,LG,,,2012-08-31,,,,,J1772,US,,,,Privé,,private,,
ELEC,City of Boulder - 63rd Street Water Treatment Plant,5487 N 63rd St,,Boulder,CO,80301,,,E,,Private,,,,,,1,1,,,,,,40.0735741,-105.2069438,2018-01-04,42541,2018-11-27 15:46:30 UTC,LG,,,2013-02-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,
ELEC,City of Boulder - Municipal Service Center,5050 Pearl St,,Boulder,CO,80301,,,E,,Private,,,,,,1,1,,,,,200-9,40.024578,-105.232194,2018-01-04,42542,2018-11-27 15:45:56 UTC,LG,,,2013-02-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,
ELEC,City of Boulder - Park Central Building,1739 Broadway,,Boulder,CO,80302,,,E,,Private,,,,,,2,,,,,,GPS,40.0148,-105.2792,2018-01-04,42543,2018-11-28 15:02:47 UTC,LG,,,2018-03-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,
ELEC,Tynan's Nissan,5811 S College Ave,,Fort Collins,CO,80525,,970-282-1400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,40.505604,-105.078041,2018-06-05,43021,2018-06-05 19:29:00 UTC,P,,,2012-01-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,
ELEC,"Walgreens - Arvada, CO #3499",11602 W 64th Ave,,Arvada,CO,80004,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.8129275,-105.1290502,2018-11-29,43221,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Arvada, CO #6826",6390 McIntyre Parkway,,Arvada,CO,80403,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.8107594,-105.175143,2018-11-29,43222,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Arvada, CO #9034",6603 Wadsworth Blvd,,Arvada,CO,80003,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.8135152,-105.0813798,2018-11-29,43223,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Federal Heights, CO #4667",1601 W 84th Ave,,Federal Heights,CO,80260,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.849458,-105.006791,2018-11-29,43231,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Federal Heights, CO #6213",10390 N Federal Blvd,,Federal Heights,CO,80260,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.8849301,-105.0250185,2018-11-29,43232,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Lakewood, CO #9566",12880 W Alameda Pkwy,,Lakewood,CO,80228,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.6998508,-105.142385,2018-11-29,43234,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Longmont, CO #9598",1041 Main Street,,Longmont,CO,80501,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,40.1768864,-105.1024675,2018-11-29,43235,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Louisville, CO #7006",191 S McCaslin Blvd,,Louisville,CO,80027,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.9692845,-105.1643193,2018-11-29,43236,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Thornton, CO #3207",4001 E 120th Avenue,,Thornton,CO,80233,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.9139194,-104.9363586,2018-11-29,43237,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Westminster, CO #4468",9970 Wadsworth Pkwy,,Westminster,CO,80021,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.8777387,-105.0955086,2018-11-29,43238,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Denver, CO #1769",2000 E Colfax,,Denver,CO,80206,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.7398648,-104.9630232,2018-11-29,43406,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Denver, CO #11101",7190 E Hampden Ave,,Denver,CO,80224,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.652644,-104.905078,2018-11-29,43407,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Foxfield, CO #7451",16440 E Arapahoe Rd,,Foxfield,CO,80016,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.59433,-104.797479,2018-11-29,43408,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Highlands Ranch, CO #2641",4175 E Wildcat Reserve Pkwy,,Highlands Ranch,CO,80129,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.528523,-104.940956,2018-11-29,43410,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Highlands Ranch, CO #4952",9141 S Broadway,,Highlands Ranch,CO,80129,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.54982,-104.99239,2018-11-29,43411,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Littleton, CO #1306",11605 W Belleview Ave,,Littleton,CO,80127,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.6247644,-105.1294987,2018-11-29,43412,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
ELEC,"Walgreens - Superior, CO #6467",1600 Coalton Rd,,Superior,CO,80027,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.9285889,-105.146505,2018-11-29,43413,2018-11-29 10:02:07 UTC,,,,,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,
